id|title|actor name|director name|year|genre
323|Seven Years in Tibet (1997)|Tedeschi, Daniel (I)|Annaud, Jean-Jacques|1997|Biography
324|Joshuu sasori: Dai-41 zakkyo-b? (1972)|Kaji, Meiko|Ito, Shunya|1972|Drama
325|Joshuu sasori: 701-g? urami-bushi (1973)|Sh?, Fumie|Hasebe, Yasuharu|1973|Drama
326|Scorcher (2002/I)|Davies, Tamara|Seale, James|2002|Drama
327|Joshuu 701-g?: Sasori (1972)|Kaji, Meiko|Ito, Shunya|1972|Drama
328|Tales from the Hood (1995)|Jefferson, Brendan|Cundieff, Rusty|1995|Horror
329|Seventh Sign, The (1988)|Carson, Darwyn|Schultz, Carl (I)|1988|Thriller
330|Serpent's Kiss, The (1997)|Smith, Britta|Rousselot, Philippe|1997|Drama
331|Serpent and the Rainbow, The (1988)|Guilfoyle, Paul (II)|Craven, Wes|1988|Horror
332|Takeover, The (1995) (V)|Donzell, James A.|Cook, Troy|1995|Action
333|Singin' in the Rain (1952)|Flatt, Ernie|Donen, Stanley|1952|Comedy
334|Shadow Conspiracy (1997)|Chory, James|Cosmatos, George P.|1997|Thriller
335|'If Only' Jim (1920)|Bunny, George|Jaccard, Jacques|1920|Western
336|Antitrust (2001)|Riley, Claire|Howitt, Peter (II)|2001|Thriller
337|Rules of Attraction, The (2002)|Somerhalder, Ian|Avary, Roger|2002|Comedy
338|Flips and Flops (1919)|Smith, Richard (XIII)|Pratt, Gilbert|1919|Short
339|Fists and Fodder (1920)|Lamont, Dixie|Robbins, Jess|1920|Short
340|Guess Who's Coming to Dinner (1967)|Richards, Beah|Kramer, Stanley|1967|Drama
341|Garimpeiro, O (1920)|Fernandes, Estella|Capellaro, Vittorio|1920|
342|Guide for the Married Man, A (1967)|Lally, Jeff|Kelly, Gene (I)|1967|Comedy
343|Gnome-Mobile, The (1967)|Sebring, Cami|Stevenson, Robert (I)|1967|Family
344|Gunaah (2002)|Rana, Ashutosh|Shetge, Amol|2002|Drama
345|Good Morning... and Goodbye! (1967)|Johnson, Don (VII)|Meyer, Russ (I)|1967|Drama
346|Shadowman (1988)|Radier, Roelant|Andrejew, Piotr|1988|Drama
347|Zinda Laash (1967)|Rehan|Sarfraz, Khwaja|1967|Horror
348|Helix... Loaded, The (2005)|Aniano, Anthony|Cruz, A. Raven|2005|Comedy
349|Intermezzo: A Love Story (1939)|Flynn, Marie|Ratoff, Gregory|1939|Drama
350|Freckled Fish, The (1919)|Hung, Chai|Le Brandt, Joseph|1919|Short
351|Dream On! (1981)|Stimpson, Viola Kates|Harker, Ed|1981|Drama
352|Good Times (1967)|Robbins, Peter (I)|Friedkin, William|1967|Comedy
353|Shakedown (1988)|Joshua, Larry|Glickenhaus, James|1988|Action
354|Graduate, The (1967)|Avery, Brian (I)|Nichols, Mike (I)|1967|Comedy
355|Joshuu sasori: Kemono-beya (1973)|Kimura, Toshie|Ito, Shunya|1973|Drama
356|Young Mr. Jazz (1919)|Lampton, Dee|Roach, Hal|1919|Short
357|White Noise 2: The Light (2007)|Gillis, Tammy|Lussier, Patrick (I)|2007|Horror
358|Son of Geronimo: Apache Avenger (1952)|Talbot, Lyle|Bennet, Spencer Gordon|1952|Western
359|My Father the Hero (1994)|Bahr, Tom|Miner, Steve|1994|Comedy
360|Shooting Fish (1997)|Russell, Catherine (I)|Schwartz, Stefan|1997|Comedy
361|Caudillo (1977)|Franco, Francisco (I)|Mart?n Patino, Basilio|1977|Documentary
362|Sibirskiy tsiryulnik (1998)|Karpenko, Aleksandr|Mikhalkov, Nikita|1998|Romance
363|My Girl 2 (1994)|Fleischer, Charles|Zieff, Howard|1994|Comedy
364|Side Streets (1998)|Dawson, Rosario|Gerber, Tony (I)|1998|Comedy
365|Decorator, The (1920)|Lloyd, Jack (I)|Robbins, Jess|1920|Short
366|When Strangers Marry (1944)|Whitney, Claire|Castle, William|1944|Film-Noir
367|Dames and Dentists (1920)|Smith, Richard (XIII)|Smith, Noel M.|1920|Short
368|Sleep (1963)|Giorno, John|Warhol, Andy|1963|
369|Hurry Sundown (1967)|Richards, Beah|Preminger, Otto|1967|Drama
370|Sleeping Beauties (1999)|Roisman, Harper|Babbit, Jamie|1999|Short
371|Running on Empty (1988)|Czyzewska, Elzbieta|Lumet, Sidney|1988|Drama
372|That Beautiful Somewhere (2006)|Calarco, Jim|Budreau, Robert|2006|Drama
373|Son of Paleface (1952)|Crosby, Bing|Tashlin, Frank|1952|Comedy
374|Dragonslayer (1981)|Clarke, Caitlin (I)|Robbins, Matthew (I)|1981|Fantasy
375|Good Year, A (2006)|Cornish, Abbie|Scott, Ridley|2006|Comedy
376|Naked Gun 33 1/3: The Final Insult (1994)|Dukakis, Olympia|Segal, Peter|1994|Comedy
377|Naked in New York (1993)|Koutoukas, H.M.|Algrant, Daniel|1993|Comedy
378|Nadja (1994)|Sean (I)|Almereyda, Michael|1994|Horror
379|Shiloh (1996)|Hagins, Montrose|Rosenbloom, Dale|1996|Drama
380|Snows of Kilimanjaro, The (1952)|Allan, Richard (I)|King, Henry (I)|1952|Romance
381|Snegurochka (1952)||Ivanov-Vano, Ivan|1952|Animation
382|Sniper, The (1952)|Weber, Elsa|Dmytryk, Edward|1952|Crime
383|She's So Lovely (1997)|Sherrill, David|Cassavetes, Nick (I)|1997|Comedy
384|How I Won the War (1967)|Carby, Fanny|Lester, Richard (I)|1967|Comedy
385|Waterloo Road (1945)|Hanray, Laurence|Gilliat, Sidney|1945|Drama
386|Don't Go Near the Park (1981)|Riley, Chris (III)|Foldes, Lawrence D.|1981|Horror
387|Hot Rods to Hell (1967)|Genge, Paul|Brahm, John|1967|Drama
388|Pulse: A Stomp Odyssey (2002)|Middleton, Keith (I)|Cresswell, Luke|2002|Short
389|Way Ahead, The (1944)|Reynolds, Quentin (I)|Reed, Carol (I)|1944|Drama
390|Hor?, m? panenko (1967)|Slivova, Marie|Forman, Milos|1967|Comedy
391|Gabbia (2003)|Sober?n, Claudia|Roder, Francesco|2003|Thriller
392|Salaam Bombay! (1988)|Daji, Dinshaw|Nair, Mira|1988|Drama
393|Things to Do in Denver When You're Dead (1995)|Garcia, Andy (I)|Fleder, Gary|1995|Romance
394|Salome's Last Dance (1988)|Jackson, Glenda|Russell, Ken (I)|1988|Comedy
395|Stolen Face (1952)|O'Regan, Terence|Fisher, Terence|1952|Drama
396|Story of Robin Hood and His Merrie Men, The (1952)|Somers, Julian|Annakin, Ken|1952|Family
397|Wizards (1977)|Bakshi, Victoria|Bakshi, Ralph|1977|War
398|Vida empieza a medianoche, La (1944)|Bolas, Xan das|Ordu?a, Juan de|1944|
399|Sliding Doors (1998)|Jones, Ella|Howitt, Peter (II)|1998|Drama
400|Sixth Man, The (1997)|Packer, Billy|Miller, Randall|1997|Comedy
401|Purana Mandir (1984)|Khote, Sadhana|Ramsay, Shyam|1984|Horror
402|Wimbledon (2004)|Cartwright, Peter (I)|Loncraine, Richard|2004|Comedy
403|Dull Care (1919)|Donnelly, James (I)|Semon, Larry (I)|1919|Short
404|Volunteer, The (1943)|de Gaulle, Charles|Powell, Michael (I)|1943|Short
405|Salsa (1988)|Hern?ndez, Ruth (I)|Davidson, Boaz|1988|Music
406|Satisfaction (1988)|Coffey, Scott (I)|Freeman, Joan (II)|1988|Comedy
407|Devil and Max Devlin, The (1981)|Lasting, Richard (I)|Stern, Steven Hilliard|1981|Comedy
408|Diva (1981)|Germon, Nane|Beineix, Jean-Jacques|1981|Music
409|Hombre (1967)|Cilento, Diane|Ritt, Martin (I)|1967|Western
410|Chubbchubbs!, The (2002)|Lurie, Peter|Armstrong, Eric (I)|2002|Short
411|Star, The (1952)|Vigran, Herb|Heisler, Stuart|1952|Drama
412|Fierce People (2005)|Vardy, Michael|Dunne, Griffin|2005|Drama
413|Hellcats, The (1967)|Slatzer, Robert F.|Slatzer, Robert F.|1967|Drama
414|Chor Machaaye Shor (2002)|Parchure, Atul|Dhawan, David|2002|Comedy
415|Simple Wish, A (1997)|Crean, David (I)|Ritchie, Michael (I)|1997|Comedy
416|Lion King II: Simba's Pride, The (1998) (V)|Hampton, Adrienne|Rooney, Darrell|1998|Comedy
417|Death Wish II (1982)|Burr, Cynthia|Winner, Michael|1982|Action
418|House on Turk Street, The (2002)|Day, Larry (I)|Rafelson, Bob|2002|Drama
419|Hillbillys in a Haunted House (1967)|Webb, Richard (I)|Yarbrough, Jean|1967|Horror
420|Decline of Western Civilization, The (1981)|Alice Bag Band|Spheeris, Penelope|1981|Music
421|Scarecrows (1988)|Simms, Michael David|Wesley, William|1988|Horror
422|You Light Up My Life (1977)|Reeves, Lisa|Brooks, Joseph (I)|1977|Romance
423|Deprisa, deprisa (1981)|Pascual, Consuelo|Saura, Carlos|1981|
424|Herostratus (1967)|St. John, Brigitte|Levy, Don (II)|1967|
425|Are You Being Served? (1977)|Grey, Monica|Kellett, Bob|1977|Comedy
426|Crossover (2006)|Gallant, Tondy|Whitmore II, Preston A.|2006|Drama
427|Sobachye serdtse (1988) (TV)|Filippov, Sergei (I)|Bortko, Vladimir|1988|Comedy
428|Screamers (2006)||Garapedian, Carla|2006|Documentary
429|Moi, Tintin (1976)|Herg?|Valet, G?rard|1976|Documentary
430|Reindeer Games (2000)|Kutcher, Ashton|Frankenheimer, John|2000|Thriller
431|Savior (1998)|Bukvicki, Marina|Antonijevic, Predrag|1998|Drama
432|Sleepaway Camp III: Teenage Wasteland (1989)|Beal, Jarrett|Simpson, Michael A.|1989|Horror
433|Annie Hall (1977)|Goldblum, Jeff|Allen, Woody|1977|Comedy
434|Blade II (2002)|Vasut, Marek|Toro, Guillermo del|2002|Horror
435|Sleepaway Camp II: Unhappy Campers (1988)|Chambers, Carol (I)|Simpson, Michael A.|1988|Horror
436|Dhool (2003)|Vivek (I)|Dharani|2003|Drama
437|Vaanaprastham (1999)|Parameshwaram, Kukku|Karun, Shaji N.|1999|Drama
438|Stickmen (2001)|Kessell, Simone|Rothwell, Hamish|2001|Drama
439|Smart Money (1931)|Bell, Spencer|Green, Alfred E.|1931|Drama
440|Slippery Pearls, The (1931)|Hayes, George 'Gabby'|McGann, William C.|1931|Short
441|Running Time (1997)|Campbell, Bruce (I)|Becker, Josh (I)|1997|Crime
442|Shuang fei lin men (1988)|Cheung, Maggie||1988|Comedy
443|When Knights Were Cold (1923)|Armstrong, Billy (I)|Anderson, Gilbert M. 'Broncho Billy'|1923|Short
444|Short Circuit 2 (1988)|Gardner, Craig (I)|Johnson, Kenneth (I)|1988|Comedy
445|When the Clouds Roll by (1919)|McGann, William C.|Fleming, Victor|1919|Comedy
446|Rosewood (1997)|Jackson, Kevin (I)|Singleton, John (I)|1997|History
447|National Lampoon Presents Dorm Daze (2003)|Watson, Vicki (II)|Hillenbrand, Scott|2003|Comedy
448|Romy and Michele's High School Reunion (1997)|Garofalo, Janeane|Mirkin, David|1997|Comedy
449|Saint, The (1997)|Whitrow, Benjamin|Noyce, Phillip|1997|Romance
450|Wu fu xing (1983)|Chin, Charlie (I)|Hung Kam-Bo, Sammo|1983|Comedy
451|Wu lang ba gua gun (1983)|Liu, Chia-Liang|Liu, Chia-Liang|1983|Drama
452|Safe House (1998/I)|Barry, Robert Lee|Stahl, Eric Steven|1998|Thriller
453|Podvig razvedchika (1947)|Martinson, Sergei|Barnet, Boris|1947|Drama
454|Beefcake (1998)|Weir, Michael (I)|Fitzgerald, Thom|1998|Drama
455|Criminal (2004)|Gyllenhaal, Maggie|Jacobs, Gregory (I)|2004|Comedy
456|Letzte Worte (1968)||Herzog, Werner|1968|Short
457|Animal, The (2001)|Rogg?, Ron|Greenfield, Luke|2001|Comedy
458|Legend of the Boy and the Eagle, The (1967)|Lomakema, Stanford|Couffer, Jack|1967|
459|Dizzy Detectives (1943)|Howard, Curly|White, Jules|1943|Short
460|Dizzy Pilots (1943)|Howard, Curly|White, Jules|1943|Short
461|Wanted - $5,000 (1919)|Lampton, Dee|Pratt, Gilbert|1919|Short
462|Joseph Smith: Prophet of the Restoration (2005)|Richardson, Josh|Christensen, T.C.|2005|Drama
463|Wood & Stock: Sexo, Or?gano e Rock'n'Roll (2006)|Z?, Tom|Guerra, Otto|2006|Comedy
464|Don Winslow of the Coast Guard (1943)|Elliott, Heenan|Collins, Lewis D.|1943|Drama
465|Room for One More (1952)|Ferguson, Frank (I)|Taurog, Norman|1952|Comedy
466|Mio viaggio in Italia, Il (1999)|Scorsese, Martin|Scorsese, Martin|1999|Documentary
467|Possessed (1947)|Cutler, Bunty|Bernhardt, Curtis|1947|Thriller
468|Ruby Gentry (1952)|Wilcox, Frank|Vidor, King|1952|Drama
469|Dixie (1943)|Moore, Charles R.|Sutherland, A. Edward|1943|Comedy
470|Saikaku ichidai onna (1952)|Shind?, Eitar?|Mizoguchi, Kenji (I)|1952|Drama
471|Shinjuku autoroo (1994) (V)|Moreno, Ruby|Miike, Takashi (I)|1994|
472|Viva Knievel! (1977)|Olson, Eric (II)|Douglas, Gordon|1977|Comedy
473|Pursued (1947)|Carey Jr., Harry|Walsh, Raoul|1947|Western
474|Mad Monster Party? (1969)|Karloff, Boris|Bass, Jules|1969|Horror
475|Quai des Orf?vres (1947)|Davray, Jo?|Clouzot, Henri-Georges|1947|Drama
476|Nihon chinbotsu (2006)|Kat?, Takeshi (I)|Higuchi, Shinji|2006|Drama
477|Buying the Cow (2002)|Barnes, Gregory Daniel|Becker, Walt|2002|Comedy
478|Groom Lake (2002)|Acker, Amy|Shatner, William|2002|Horror
479|Order, The (2003)|Sbragia, Mattia|Helgeland, Brian|2003|Horror
480|Education for Death (1943)|Hitler, Adolf|Geronimi, Clyde|1943|Short
481|Sitt el beit (1949)|Sedky, Zeinab|Morsi, Ahmed Kamel|1949|Comedy
482|Black Sheep (2006/I)|McTurk, Kevin|King, Jonathan (VII)|2006|Horror
483|Queen of the Amazons (1947)|Jones, Darby|Finney, Edward|1947|Sci-Fi
484|Clock, The (1945)|Chandler, Eddy|Minnelli, Vincente|1945|Romance
485|Scream 2 (1997)|Hyler, Erik|Craven, Wes|1997|Horror
486|Railroaded! (1947)|Converse, Peggy|Mann, Anthony (I)|1947|Drama
487|Magical Mystery Tour (1967) (TV)|Lennon, John (I)|Knowles, Bernard|1967|Comedy
488|Tunnel, Der (2001)|Hartmann, Jonas|Richter, Roland Suso|2001|Drama
489|Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003)|Romanthony|Taken?chi, Kazuhisa|2003|Music
490|D?a de la bestia, El (1995)|y Medio, Juan|Iglesia, ?lex de la|1995|Horror
491|Zoja el azraa, El (1958)|Hamdi, Imad|Bedeir, El Sayed|1958|Crime
492|Skin (1995)|Bremner, Ewen|O'Connell, Vincent|1995|Short
493|Best in Show (2000)|Lake, Don|Guest, Christopher (I)|2000|Comedy
494|Giuliani Time (2005)|Giuliani, Rudolph W.|Keating, Kevin (I)|2005|Documentary
495|Du Barry Was a Lady (1943)|Haley, Aileen|Del Ruth, Roy|1943|Comedy
496|Do?a B?rbara (1943)|Soler, Juli?n|de Fuentes, Fernando (I)|1943|Drama
497|Cornered (1945)|De Lora, Carl|Dmytryk, Edward|1945|Thriller
498|Selena (1997)|Gonzalez, Elisabeth|Nava, Gregory|1997|Music
499|Red House, The (1947)|Robinson, Edward G.|Daves, Delmer|1947|Thriller
500|Conflict (1945)|Wilcox, Frank|Bernhardt, Curtis|1945|Drama
501|Cradle Will Rock (1999)|Finn, Kenneth|Robbins, Tim (I)|1999|Drama
502|Confidential Agent (1945)|Delevanti, Cyril|Shumlin, Herman|1945|Thriller
503|Mari?e ?tait en noir, La (1968)|Qu?ant, Gilles|Truffaut, Fran?ois|1968|Drama
504|Toy Story (1995)|Farmer, Bill (I)|Lasseter, John|1995|Comedy
505|Amarillo, El (2006)|Moyano, Gabriela|Mazza, Sergio|2006|Drama
506|Dying Rooms, The (1995) (TV)||Woods, Brian (I)|1995|Documentary
507|Ramrod (1947)|Higgins, Rose|De Toth, Andr?|1947|Western
508|Wicked (1998)|McTavish, Patrick|Steinberg, Michael (I)|1998|Thriller
509|Dupe od mramora (1995)|Susa, Miodrag|Zilnik, Zelimir|1995|Drama
510|Total Eclipse (1995)|Cabarbaye, Felicie Pasotti|Holland, Agnieszka|1995|Drama
511|Seunlau ngaklau (2000)|Li, Joe|Tsui, Hark|2000|Drama
512|Stage Beauty (2004)|Gulliford, Hermione|Eyre, Richard (I)|2004|Drama
513|Surf's Up (2007)|Belben, Dana|Buck, Chris (II)|2007|Comedy
514|Cipher in the Snow (1973)|Kimball, Bruce|Atkinson, Keith J.|1973|Short
515|?lisa (1995)|Guesmi, Samir|Becker, Jean|1995|Drama
516|After the Storm (1915/II)|Rich, Vivian|Eason, B. Reeves|1915|Short
517|Scooby-Doo! Pirates Ahoy! (2006) (V)|DeLisle, Grey|Sheetz, Chuck|2006|Comedy
518|Tamale Vendor, The (1931)|Patricola, Tom|Arbuckle, Roscoe 'Fatty'|1931|Short
519|Kinnikuman: Ubawareta champion belt (1984)|Kamiya, Akira|Shirado, Takeshi|1984|Animation
520|?t? meurtrier, L' (1983)|G?lin, Manuel|Becker, Jean|1983|Drama
521|Taris, roi de l'eau (1931)|Taris, Jean|Vigo, Jean|1931|Short
522|Ride the Pink Horse (1947)|Hendrix, Wanda|Montgomery, Robert (I)|1947|Thriller
523|Kinnikuman: Seigi ch?jin VS kodai ch?jin (1985)|Kamiya, Akira|Yamyoshi, Yasuo|1985|Animation
524|Fall Out-Fall in (1943)|Nash, Clarence|King, Jack (I)|1943|Short
525|Claire (2001)|Gallego, Toniet|Thomas, Milford|2001|Fantasy
526|? nos amours (1983)|Schlumberger, Val?rie|Pialat, Maurice|1983|Drama
527|Baaghi (2000)|Packard, Gavin|Singh, Rajesh Kumar|2000|Romance
528|Chaahat (1996)|Khan, Mushtaq|Bhatt, Mahesh (I)|1996|Comedy
529|Somewhere in Sonora (1933)|Dillard, Art|Wright, Mack V.|1933|Western
530|Son of Kong, The (1933)|Leon, Jimmy|Schoedsack, Ernest B.|1933|Horror
531|Riffraff (1947)|Hill, Betty (I)|Tetzlaff, Ted|1947|Adventure
532|Sleeping Pills (2003)|McDonald, Lindsay|Lauter, Michael|2003|
533|Svengali (1931)|Vanderveer, Ellinor|Mayo, Archie|1931|Horror
534|Tabu: A Story of the South Seas (1931)|Matahi|Flaherty, Robert J.|1931|Drama
535|Road to Rio (1947)|Johnson, Tor|McLeod, Norman Z.|1947|Comedy
536|Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)|Williams, Anwen|Monger, Christopher|1995|Comedy
537|Kids in America (2005)|Wendt, George (I)|Stolberg, Josh|2005|Comedy
538|Sunshine (1999)|Beresford, Jack|Szab?, Istv?n (I)|1999|Drama
539|Susan's Plan (1998)|Banks, Steven|Landis, John (I)|1998|Comedy
540|Southern Belles (2005)|Cohen, Blake|Shroff, Brennan|2005|Comedy
541|Cecil B. DeMented (2000)|Morgan, Dan (II)|Waters, John (I)|2000|Comedy
542|Empire Records (1995)|Travis, Lara|Moyle, Allan|1995|Comedy
543|Nyfes (2004)|Totsikas, Apostolis|Voulgaris, Pantelis|2004|History
544|With the Mounted Police (1912)|Anderson, Mignon||1912|Thriller
545|Family Troubles (1943)|Thomas, Billie 'Buckwheat'|Glazer, Herbert|1943|Short
546|Three Girls Lost (1931)|Fung, Willie|Lanfield, Sidney|1931|Drama
547|This Modern Age (1931)|Dvorak, Ann|Grinde, Nick|1931|Drama
548|Ye maan bei kup (2006)|Leung, Sammy|Wong, Jing|2006|Comedy
549|Four Seasons, The (1981)|Alda, Elizabeth|Alda, Alan|1981|Comedy
550|Fort Apache the Bronx (1981)|Allen, Frederick (II)|Petrie, Daniel|1981|Drama
551|Shuang feng ji yuan (1964)|Jin, Feng|Chow, See Luk|1964|Musical
552|Ten 'til Noon (2006)|Hagen, Daniel|Storm, Scott (I)|2006|Crime
553|Absolute Beginners (1986)|Tonioli, Bruno|Temple, Julien|1986|Musical
554|About Last Night... (1986)|Moore, Demi|Zwick, Edward|1986|Comedy
555|Shanghai Noon (2000)|Finkbeiner, Jim|Dey, Tom|2000|Comedy
556|Squaw Man, The (1931)|Northrup, Harry|DeMille, Cecil B.|1931|Drama
557|Zoom In: boko danchii (1980)|Azusa, Yoko|Kurosawa, Naosuke|1980|
558|Xtro (1983)|Tok|Bromley Davenport, Harry|1983|Horror
559|Tangents (1994)|Greer, Colleen|Giancola, David|1994|Sci-Fi
560|Darkness in Tallinn (1993)|Kreitsmann, Ulvi|J?rvi-Laturi, Ilkka|1993|Comedy
561|For Whom the Bell Tolls (1943)|L?pez, Manuel (I)|Wood, Sam (I)|1943|Romance
562|Dave (1993)|Gordon, Wendy|Reitman, Ivan|1993|Comedy
563|Yagunthaya (1983)|Weerasinghe, Suwinitha|Peries, Lester James|1983|
564|Yellowbeard (1983)|Cleese, John|Damski, Mel|1983|Comedy
565|Dazed and Confused (1993)|Krizan, Kim|Linklater, Richard|1993|Comedy
566|Forever and a Day (1943)|Smith, C. Aubrey|Wilcox, Herbert|1943|History
567|Year of Living Dangerously, The (1982)|Marantha, Coco|Weir, Peter|1982|Drama
568|Sporting Blood (1931)|Gable, Clark|Brabin, Charles|1931|Drama
569|Yentl (1983)|Sears, Ian|Streisand, Barbra|1983|Drama
570|Fires Were Started (1943)|Griffiths, Fred|Jennings, Humphrey|1943|Documentary
571|84 Charing Cross Road (1987)|Napier Brown, Kate|Jones, David Hugh|1987|Drama
572|Aakhree Raasta (1986)|Dilip (III)|Bhagyaraja, K.|1986|Action
573|Aanslag, De (1986)|Spijker, Monique|Rademakers, Fons|1986|Romance
574|Aap Ke Saath (1986)|Mehra, Raj|Prakash, J. Om|1986|Drama
575|8 Million Ways to Die (1986)|Garcia, Andy (I)|Ashby, Hal|1986|Thriller
576|Spell of the Circus (1931)|Murphy, Charles (I)|Hill, Robert F.|1931|Action
577|Dangerous Game (1993)|Ashley, Robyn B.|Ferrara, Abel|1993|Drama
578|Five Graves to Cairo (1943)|Jackman, Clyde|Wilder, Billy|1943|War
579|Flesh and Fantasy (1943)|Hyde, Mary Ann|Duvivier, Julien|1943|Drama
580|In the Candlelight (1914)|Rich, Vivian|Ricketts, Tom|1914|Short
581|Dark Half, The (1993)|Hutton, Timothy|Romero, George A. (I)|1993|Horror
582|Stigmata (1999)|Christopher, Faith|Wainwright, Rupert|1999|Horror
583|Shriek in the Night, A (1933)|Talbot, Lyle|Ray, Albert (I)|1933|Comedy
584|Employee of the Month (2004)|Blondell, Brian|Rouse, Mitch|2004|Comedy
585|Death Train (1993) (TV)|Gruber, Brane|Jackson, David (I)|1993|Thriller
586|52 Pick-Up (1986)|Ponce, Bobby (I)|Frankenheimer, John|1986|Thriller
587|4 aventures de Reinette et Mirabelle (1987)|Auffray, Jacques|Rohmer, Eric|1987|Comedy
588|'Round Midnight (1986)|Reaves-Phillips, Sandra|Tavernier, Bertrand|1986|Music
589|Demolition Man (1993)|Praksti, Francis|Brambilla, Marco (I)|1993|Comedy
590|Zelig (1983)|Marco, Anton|Allen, Woody|1983|Comedy
591|Greyfriars Bobby (2005)|O'Hanlon, Ardal|Henderson, John (I)|2005|Family
592|Zeder (1983)|Tanziani, Paola|Avati, Pupi|1983|Horror
593|Two Hands (1999)|Bradford, Damian|Jordan, Gregor|1999|Comedy
594|Sitting Pretty (1933)|Hamilton, Hale|Brown, Harry Joe|1933|Musical
595|Crocodile Dundee (1986)|Clarke, Caitlin (I)|Faiman, Peter|1986|Comedy
596|'Night, Mother (1986)|Bancroft, Anne (I)|Moore, Tom (II)|1986|Drama
597|Evolver (1995)|Macy, William H.|Rosman, Mark|1995|Sci-Fi
598|Street Scene (1931)|Shearing, Renee|Vidor, King|1931|Drama
599|Head Waiter, The (1919)|Carlisle, Lucille|Semon, Larry (I)|1919|Short
600|He Laughs Last (1920)|Lamont, Dixie|Robbins, Jess|1920|Short
601|Dollman vs. Demonic Toys (1993) (V)|Greathouse, David|Band, Charles|1993|Horror
602|Healthy and Happy (1919)|Smith, Richard (XIII)|Smith, Noel M.|1919|Short
603|Escape from New York (1981)|Baker, Ox|Carpenter, John (I)|1981|Thriller
604|Arroseur, L' (1896)||M?li?s, Georges|1896|Short
605|Awakening of Rip (1896)|Jefferson, Joseph (I)||1896|Short
606|Piano Tuner of Earthquakes, The (2005)|Zimmermann, Regine|Quay, Stephen|2005|Drama
607|Voltige, La (1895)||Lumi?re, Louis|1895|Short
608|Arriv?e d'un train gare de Vincennes (1896)||M?li?s, Georges|1896|Short
609|Evilspeak (1981)|Cortese, Joseph (I)|Weston, Eric (I)|1981|Horror
610|Barnet Horse Fair (1896)|||1896|Short
611|Excalibur (1981)|Flynn, Gerard Mannix|Boorman, John|1981|Fantasy
612|Baignade en mer (1896)||M?li?s, Georges|1896|Short
613|Ball Game, The (1898)|||1898|Short
614|Ab Tumhare Hawale Watan Saathiyo (2004)|Nagma|Sharma, Anil (I)|2004|War
615|Syrian Bride, The (2004)|Khoury, Makram|Riklis, Eran|2004|Comedy
616|Bateau-mouche sur la Seine (1896)||M?li?s, Georges|1896|Short
617|Bataille de boules de neige (1896)|||1896|Short
618|Barque sortant du port de Trouville (1896)||M?li?s, Georges|1896|Short
619|PCU (1994)|Paskoski, Stivi|Bochner, Hart|1994|Comedy
620|His Jonah Day (1920)|Fox, George (I)|Robbins, Jess|1920|Short
