id|title|starring|writer|editor
502||u0E40u0E01u0E28u0E23u0E34u0E19 u0E40u0E2Du0E01u0E18u0E27u0E31u0E0Au0E01u0E38u0E25|Morakat Kaewthanek|
503|Shangoul & Mangoul|||
504||Michael Pink||
505|0466909|Jason Flemyng|Clive Dawson|
506|Grosse Pointe Blank|Daniel Edward Aykroyd|Tom Jankiewicz|
507||George Campbell Scott|James Goldman|
508||Mary Philbin|James Ashmore Creelman|
509|The Black Gestapo|Phil Hoover|Lee Frost|
510|Flamingo Road|David Brian|Edmund H. North|
511|Shell Shock|||
512||Marion Pauline Levy|Ernest Vajda|
513|The Locket|La Raine Johnson|Sheridan Gibney|
514|The Great Dictator|Lewis Delaney Offield|Charles Chaplin|
515||Aditya Neshtra|Haricharan Newton|
516|Allari Bullodu|Trisha Krishnamurthy||
517||Jamshad|Sujatha|
518|Rope|James Stewart (actor)|Arthur Laurents|
519|||Micha?l Dudok De Wit|
520|Sleepstalker|Michael Harris (actor)|Turi Meyer|
521|New York Stories|Mae Questel|Sofia Carmina Coppola|
522||Byron Elsworth Barr|William Marchant|
523|The Sea Wolves|Barbara Kellerman|Reginald Rose|
524|||Sandip Ray Satyajit Ray Prafulla Chandra Roy|
525|Darth Vader's Psychic Hotline|Robert E. Bean Heather Harris|Lowell Cunningham|
526|Uchu00FBjin Tokyo ni arawaru|Mieko Nagai|Gentaro Nakajima (novel)   Hideo Oguni (screenplay)   Jay Cipes (English dialogue)   Edward Palmer (English dialogue)|
527||James Francis Cagney Jr.|Luther Davis|
528|Yellowbeard|Tommy Chong|Graham Arthur Chapman|
529||Jack Whiting|Guy Bolton|
530|An Angel at My Table|Karla Smith|Janet Frame|
531|Living Out Loud|Dana Elaine Owens|Richard LaGravenese|
532||Rex Bell|Walter Anthony|
533|Get on the Bus|Francis Harper|Reggie Rock Bythewood|
534|Zorro, The Gay Blade|Brenda Vaccaro||
535||Two uncredited male sexual performers, and one female non-sexual performer|Oscar Wild|
536|Children of the Living Dead|A. Barrett Worland||
537||Sydney Hughes Greenstreet|Robert Siodmak|
538||Shiney Ahuja|Honey Irani|
539||Jeremy Piven|Lewis Colick|
540||Olga Zubarry|Carlos Cores|
541||Tim Conway|Tim Conway|
542||Walter John Matthow|Neil Simon|
543||Estelita Rodriguez|Carl K. Hittleman|
544||Faisal Khan||
545|Greedy|Nancy Travis|Lowell Ganz|
546||S.S.Chandran||
547||John Stephen Goodman|Richard Price (writer)|
548||Radha||
549|The Straight and Narrow|Oliver Hardy||
550|China 9, Liberty 37|Fabio Testi|Ennio de Concini|
551|Nala Damayanthi|Nassar|Mouli|
552||Angharad Rees|L.W. Davidson|
553|Snow White and the Seven Dwarfs|Roy Atwell|Merrill De Maris|
554|Hedwig and the Angry Inch|Alberta Watson|Stephen Trask|
555|Ghidorah, the Three-Headed Monster|Hiroshi Koizumi|Shinichi Sekizawa|
556|Arabesque|Sofia Villani Scicolone|Peter Stone|
557||Abraham Charles Vigodah|Francis Ford Coppola|
558|What Women Want|Alan Alda|Diane Drake|
559|The Fortune|Henry Warren Beaty|Carole Eastman|
560|Re-Animator|Bruce Paul Abbott|William Norris|
561||Morris Chestnut|Lawrence Roman|
562||David Huffman||
563||Philip St. John Basil Rathbone|Arthur Conan Doyle (characters) Bertram Millhauser|
564||Park Overall|Susan Rice|
565||Tony Hawks|Robert Llewellyn|
566|Stephen Tobolowsky's Birthday Party|Stephen Harold Tobolowsky||
567||Elaine Kam|Yin Nam|
568||Koula Agagiotou|Alexis Damianos|
569||Ed Binns|William Raynor|
570||David Wheeler|Clare Peploe|
571|He Would a Hunting Go|Roscoe Arbuckle||
572|Special Delivery||Eunice Macaulay John Weldon|
573|Gertrud|Bendt Rothe|Hjalmar S?derberg|
574||Victor Webster|John Benjamin Martin   Peter Atkins (characters)|
575|Monster Night|Joss Saltzman|Dami?n Romay|
576|Scavenger Hunt|Cloris Leachman|Henry Harper John Thomson Steven Vail Gerry Woolery|
577|From the Earth to the Moon|Debralee Griffin|Jules Verne|
578|Dark Days|||
579|Shooter|Mark Wahlberg|Jonathan Lemkin|
580|The Pledge|Benicio Monserrate Rafael del Toro Su00E1nchez|Jerzy Kromolowski|
581|Luke and the Rural Roughnecks|Harold Lloyd||
582||Ravi Mohan|Abburi Ravi|
583||Crystal Dahl|John Masius|
584|Booty Call|Eric Marlon Bishop|Takashi Bufford J. Stanford Parker|
585|Falling in Love|Mary Louise Streep|Michael Cristofer|
586|The Dead Zone|Ramu00F3n Gerardo Antonio Estu00E9vez|Jeffrey Boam|
587|||Kinji Fukasaku  Sadao Nakajima (own segment)  Tatsuo Nogami (screenplay)  Shiro Ozaki (novel)  Junya Sato|
588||Dieter Plage|Werner Herzog|
589||Vivian Rich|Marc Edmund Jones|
590|Suite Habana|Francisco Cardet|Fernando Pu00E9rez|
591||Sara Simmonds|Nathan Todd Sims|
592||Nicole Mary Kidman||
593||Fay Masterson|Andrew C. Erin|
594||Cloris Leachman|Larry Jeff McMurtry|
595|His Private Secretary|Evalyn Knapp|Lewis D. Collins   Jack Natteford|
596||Om Prakash||
597||Shalini||
598|Filmfare Best Movie Award|Jatin Khanna||
599|In the Valley of Elah|Susan Abigail Tomalin|Paul Edward Haggis|
600|Funeral Parade of Roses|Peter (actor)|Toshio Matsumoto|
601||Glenn Allen|Thomas Mercer|
602|Tjenare kungen|Malin Larsson|Anna Fredriksson|
603|The Lost World|William Fox|Arthur Conan Doyle|
604|Eagle vs Shark|Loren Horsley|Loren Horsley|
605|Applause|Helen Morgan|Garrett Fort|
606||Barbara Jean Morehead|Peter S. Fischer|
607|King of the Jungle|Rosa Maru00EDa Pu00E9rez|Seth Zvi Rosenfeld|
608|City of Ghosts|Stellan Skarsg?rd|Barry Gifford|
609|Don|Akkineni Nagarjuna Rao|Abburi Ravi|
610|Perdita Durango|Harley Cross|Barry Gifford|
611||Karl Maka||
612||Pablo Tendilla Ortiz (Indio), Pablo Tendilla Rocha (Jhonny), Aidee Gonzalez (Rebecca), Darina Rabago Soto (Brianda)|Dylan Verrechia, James Lefkowitz|
613|Comic Book Confidential|Robert Dennis Crumb|Ron Mann|
614|Penelope|Peter Dinklage|Leslie Caveny|
615||Reginald Carey Harrison|Val Valentine|
616||Dharmendra|Talat Jani|
617||Suhasini Rajaram Naidu|K. Balachandar|
618|Message in a Bottle|Robin Gayle Wright|Nicholas Sparks|
619|Honey Glaze|Sideshow Cinema#James O'Brien|Michael Legge (filmmaker)|
620|Une histoire d'eau|Jean-Claude Brialy|Franu00E7ois Truffaut Jean-Luc Godard|
621||Walter Davis Pidgeon|Julius J. Epstein|
622||Archibald Alec Leach|Herbert Baker|
623||Elizabeth McGovern|Andrew Klavan|
624|Peesua lae dokmai|Suriya Yaowasang Vasana Polyiem|Euthana Mukdasanit|
625||Clark Lohr and Carolyn Owen|Steven Allan Spielberg|
626||Hema Malini||
627|The Last Wagon|James Drury|James Edward Grant|
628|A Lizard in a Woman's Skin|Florinda Bolkan Stanley Baker Jean Sorel|Lucio Fulci|
629||Lynn Butler-Smith|Ken Kaufman|
630|Baby Doll|Carroll Baker|Tennessee Williams|
631|Le Retour de Martin Guerre|Gu00E9rard Xavier Marcel Depardieu|Jean-Claude Carri?re|
632|Night at the Museum|Carla Gugino|Thomas Lennon|Don Zimmerman
633||Scott Brady|David L. Hewitt|
634||Prithviraj Sukumaran|Sunil Parameswar|
635||Jesse Ventura|Damian Lee|
636|A Little Sex|Joan Miller|Robert De Laurentiis|
637|Flags of Our Fathers|John Benjamin Hickey|William Broyles, Jr.|
638||Lindsay Jean Wagner|Greg McCarty|
639|Spring in a Small Town|Wei Wei (actress)|Li Tianji|
640|Madame Curie|Travers Heagerty|Aldous Huxley|
641|Frogs|Alfred Reginald Jones|Robert Hutchison|
642|Frankenstein Meets the Wolf Man|Creighton Tull Chaney|Curt Siodmak|
643||Philip Silver||
644||Anita Pallenberg|Arne Boyer|
645||Laurence Mason|John G. Young|
646||Jatin Khanna||
647|The Weak and the Wicked|Diana Mary Fluck||
648||Julee Cruise|David Keith Lynch|
649||Madiha Shah|Rukhsana Noor|
650|Howard the Duck|Chip Zien|Willard Huyck|
651|The Family Secret|Gladys Hulette|Dwinelle Benthall|
652||Jorge Sanz|David Menkes|
653|The Return of Swamp Thing|Heather Deen Locklear|Len Wein|
654|Freedom Comes High|||
655|The Wasp|Hugh Bennett||
656|Vai que u00E9 Mole|J? Soares|Edgar G. Alves J.B. Tanko|
657||Winston Rekert|Jeff Maguire|
658||Jessica Stevenson|Garth Jennings|
659|The Children of Huang Shi|Guang Li|Jane Hawksley|
660|Attack Force Z|Nigel John Dermot Neill|Roger Marshall|
661||Daria Nicolodi|Adam Gierasch|
662||Catherine Louise Sagal|Eric Kaplan|
663||Ong-art Ponethon|Khamsing Srinawk|
664|Serial (film)|||
665||Paul Hogan|Dean Murphy|
666|Punks|Rockmond Dunbar||
667|Teenage Catgirls in Heat|Dave Cox Esmeralda Huffhines Gary Graves Helen Griffiths Carrie Vanston|Scott Perry Grace Smith|
668|The Punisher|Dashiell Mihok|Kurt Sutter|
669|The Agent|Oliver Hardy|Tom Buckingham Larry Semon|
670||Agust?n Gonz?lez|Fernando Fern?n G?mez|
671||Danny Stone|Edward Mann|
672|Voices of Iraq|People of Iraq||
673|Twin Flats|Oliver Hardy||
674|CJ7|Stephen Chow|Stephen Chow|
675|The Sign of the Cross|Ernest Frederick McIntyre Bickel|Wilson Barrett|
676|Glass Bottom Boat|Doris Day|Everett Freeman|
677|Stewardess School|Brett Cullen|Ken Blancato|
678|Heartbreak Hotel|David Lemuel Keith|Chris Columbus|
679|Il Commisario Pepe|Elena Persiani|Ruggero Maccari|
680|Talk Radio|Eric Bogosian|Eric Bogosian|
681|Broken Oath|Dean Shek||
682||Lew Davis|Felix Adler|
683|The Manxman|Anny Ondra|Hall Caine|
684||Dan Hedaya|Norman Steinberg|
685|u00C9lisa|Florence Thomassin|Fabrice Carazo|
686|Toolbox Murders|Marco Rodr%C3%ADguez||
687||Charles Douville Coburn|Norman Krasna|
688|Kamulah Satu-Satunya|Nirina Zubir|Hanung Bramantyo|
689|||Abrams Klezkins|
690||James Jonah Cummings|Jim Kammerud|
691||Steve Cochran||
692|Lovers' Post Office|Roscoe Arbuckle||
693|Hold That Ghost|Richard Carlson|Fred Rinaldo|
694|Rumor Has It|Mark Alan Ruffalo|Ted Griffin|
695||Ficarra|Ficarra|
696|The Brother from Another Planet|Darryl Edwards|John Sayles|
697|Journey to Lasta|Tsegaye B. Selassie   Kirubel Assefa   Teferi Assefa       Johnny Ashenafi        Jessica Beshir        Tsehaie Kidane        Abbey Lessanu   Scott F. Evans   Ras Michael|Wondwossen D. Dikran|
698|Sleep, My Love|Charles Clarence Robert Orville Cummings|Leo Rosten|
699|My Man Godfrey|Jane Alice Peters|Eric Hatch|
700||Minami Takayama|Kazunari Kochi|
701|La sconosciuta|Claudia Gerini|Massimo De Rita|
702||Guy Edward Pearce|Brian Ward|
703|Dark Matter|Liu Ye|Billy Shebar|
704|Torremolinos 73|Juan Diego (actor)|Pablo Berger|
705|Pipe Dreams|Kate Price (actor)||
706|Hell's Angels|Harlean Harlow Carpenter|Howard Estabrook|
707|Columbia Pictures|||
708|Chain Reaction|Keanu Charles Reeves||
709|Dog Park|Luke Cunningham Wilson|Bruce McCulloch|
710|This Property Is Condemned|Charles Robert Redford, Jr.|Edith Sommer|
711|Kshatriya|Vinod Khanna|J.P. Dutta|
712|Ben Hur|William Surrey Hart|Gene Gauntier|
713||Dominick DeLuise|Ron Clark (writer)|
714|Screamplay|George Kuchar|Ed Greenberg Rufus Butler Seder|
715||Frankie Avalon|John Tomerlin|
716|Quicksand9|Joseph Yule, Jr.||
717|The Paper Chase|Jacques Haussmann|James Bridges|
718|Mutiny on the Bounty|Eddie Quillan|Carey Wilson (writer)|
719|Will Success Spoil Rock Hunter?|Tony Randall|Frank Tashlin|
720|The Human Stain|Philip Anthony Hopkins|Philip Roth|
721|Honey, We Shrunk Ourselves|Stuart Pankin|Karey Kirkpatrick|
722|Species: The Awakening|Helena Mattsson|Ben Ripley|
723|A Question of Honor|Jack Richardson (actor)||
724||Stephen Chow|Jeffrey Lau|
725|Animal Crackers|Chico Marx|George S. Kaufman|
726|For Heaven's Sake|Webb Parmalee Hollenbeck|Harry Segall|
727||John Samuel Waters, Jr.|Don Mancini|
728|Summer School|Robin Thomas|Stuart Birnbaum|
729|Freedom Downtime|||
730|Soul Man|Leslie William Nielsen|Carol Black|
731|The Reaping|Idrissa Elba|Chad Hayes|
732||Jyothika|Ramana|
733|Senseless|Elmore Rual Torn|Craig Mazin|
734|Old Offenders|Henry DeWitt Carey II||
735||Danny Denzongpa||
736|Ritual dos Su00E1dicos, O|Jos? Mojica Marins|Rubens F. Lucchetti|
737|Wesley Willis: The Daddy of Rock 'n' Roll|Wesley Willis||
738|List of Sundance Film Festival award winners|Richard Perle|Eugene Jarecki|
739|La Promesse|Olivier Gourmet|Jean-Pierre Dardenne|
740||Louise Marleau|Erich Tomek|
741||Robert Quarry|Bob Kelljan|
742|Viruddh... Family Comes First|Sharmila Tagore|Mahesh Manjrekar|
743|To Walk with Lions|John Michie||
744||Ramesh Khanna||
745|State of Grace|Edward Allen Harris|Dennis McIntyre|
746|Jaws: The Revenge|Michael Caine|Michael De Guzman|
747|Chamatkar|||
748|Title|William Crudup|Paul Schneider|
749|Infernal Affairs III|Vivian Chen Wai Man (u9673u6167u6C76)|Felix Chong|
750|The Cardinal|Rosemarie Magdalena Albach-Retty|Robert Dozier|
751||Patrick Galen Dempsey|George Mendeluk<BR/>Bradley Kesden<BR/>Michael Paseornek|
752|Mischief|Doug McKeon|Noel Black|
753||Shim Eun-Ha||
754||Brigitte Mira|Heinrich Zille|
755|Vampires|Daniel Leroy Baldwin|John Steakley|
756|Savage Guns|Robert Woods||
757|||Dziga Vertov|
758||Rehman||
759|"Angel (""Tian shi xing dong"")"|Alex Fong Chung-Sun|Teresa Woo|
760|One True Thing|Nicky Katt|Karen Croner|
761|Safe|Julie Anne Smith|Todd Haynes|
762|Keeping Mum|Emilia Rose Elizabeth Fox|Richard Russo|
763|Hinokio|Kanata Hongo|Shoji Yonemura|
764|Alraune|Gyula G?l|Hanns Heinz Ewers|
765|ABBA: The Movie|Robert Hughes (Australian actor)|Robert Caswell|
766||Norman D. Golden II|Arne Olsen|
767|Venky|Suhasini Rajaram Naidu|Kona Venkat|
768|The Heroes|Oliver Hardy||
769|The Right Way|Holly Dennison|Mark Penney|Kevin Rollins
770||Creighton Tull Chaney|Neil P. Varnick (story)|
771|Dr. Phibes Rises Again|Robert Quarry|Robert Fuest|
772|License to Wed|Robin McLaurim Williams|Kim Barker|
773||Sangeeta||
774|Baykot|Majid Majidi||
775||Hakk? G?ven?|Yilmaz G?ney|
776|A Smoky Mountain Christmas|Harvey Lee Yeary|William Bleich Dolly Parton|
777||Burton Stephen Lancaster|Russell Birdwell|
778|Captain Newman, M.D.|Eldred Gregory Peck|Henry Ephron|
779||George S. Irving|Joe Raposo|
780||Susan Barnes|Carroll Cartwright|
781||Bela Lugosi|Gerald Schnitzer|
782|Shit Happens|Kristoffer Joner|Morten Hovland|
783|Guns at Batasi|Richard Samuel Attenborough|C. M. Pennington-Richards|
784|Les tu00EAtes interverties|Micheline Beauchemin|Thomas Mann|
785|Waikiki Wedding|Shirley Ross||
786||Jon Hall||
787|Robot Monster|George Barrows|Wyott Ordung|
788||Kenneth Dollins|Felix Adler|
789||Pu00E1ll Danielsen Erling Eysturoy Elin K. Mouritsen Katrin Ottarsdu00F3ttir||
790|A Lawyer Walks into a Bar|Robert Shapiro||
791||Etty Fraser|Anna Muylaer|
792|Invasion U.S.A.|Alexander Zale|James Bruner|
793|Overland Stage Raiders|Marion Robert Morrison|William Colt MacDonald|
794|Mystery Date|Ethan Green Hawke|Parker Bennett|
795|Mumford|Alfre Ette Woodard|Lawrence Kasdan|
796||Jane Birkin|Andrew Litvack|
797|Fire|Nandita Das|Deepa Mehta|
798|Columbia Pictures|||
799||Tanuja||
800|Black Moon Rising|Dan Shor|William Gray|
801||Lennart Eriksson||
802|Yodha|Mohanlal Viswanathan Nair|Sangeeth Sivan|
803|Dragonfly|Kevin Michael Costner|Brandon Camp|
804||Simple Kapadia||
805|Horrorween|Ed Meyer|Ed Meyer|
806|Perfect Body|Brett Cullen|Melissa Gould|
807|A Busy Day|Charlie Chaplin||
808||Erkki Pajala|Olli Soinio|
809|2+5: Missione Hydra|Leonora Ruffo Mario Novelli||
810|The Nature of the Beast|Lance Henriksen|Victor Salva|
811|Luke's Lost Liberty|Harold Lloyd||
812|Mabel's Wilful Way|Roscoe Arbuckle||
813|Starchaser: The Legend of Orin|Dennis Alwood|Jeffrey Scott|
814|Thirteen Conversations About One Thing|Tia Texada|Jill Sprecher|
815||Lynn Lowry|David E. Durston|
816|Right at Your Door|Max Kasch|Chris Gorak|Jeffrey M. Werner
817|||Morten Skallerud|
818|Motor Psycho|Coleman Francis|W.E. Sprague|
819||Sterling Hayden, Arthur Hunnicutt, Ernest Borgnine|Warren Duff (story by Sy Bartlett)|
820|Zoop in Zuid-Amerika|||
821|Le Temps qui reste|Valeria Bruni-Tedeschi|Fran?ois Ozon|
822||Rajnikanth||
823|White Of The Eye|David Lemuel Keith|Andrew Klavan (novel) Donald Cammell|
824|Roving Mars||George Butler (filmmaker)|
825||Mackenzie Alexander Astin|Jeff Arch|
826|The Freeze-Out|Henry DeWitt Carey II|George C. Hull|
827||Belle Bennett|Frances Marion|
828|Boss - I Love You|Ali|Chintapally Ramana|
829|October Moon|Sean Michael Lambrecht|Jason Paul Collum|
830|Singles|James LeGros|Cameron Bruce Crowe|
831|Fear|Alyssa Jayne Milano|Christopher Crowe|
832||Marie Magdalene Dietrich|Daniel Taradash|
833||Randy Kehler|Sara Elinoff|
834||Wong Jing|Jing Wong|
835||Lon Chaney Jr. Jean Parker|Dwight V. Babcock|
836|Squanto: A Warrior's Tale|Julian Richings|Darlene Craviotto|
837|Battle Beyond The Sun|Aleksandr Shvorin|Mikhail Karzhukov  Yevgeni Pomeshchikov  Aleksei Sazanov|
838|Boiling Point|Takeshi Kitano|Takeshi Kitano|
839|2001 A Space Travesty|Oph?lie Winter|Alan Shearman|
840|Mr. Deeds|Jared Harris|Clarence Budington Kelland|
841|The Grass Is Greener|Archibald Alec Leach|Hugh Williams|
842||Ravi Mohan|Rosshan Andrrews|
843||Jeff Seymour|Ruba Nadda|
844|Infinity|Peter Riegert|Richard Feynman|
845|The Honeymoon Machine|Brigid Bazlen|George Wells|
846|Incendiary|Ewan McGregor|Sharon Maguire|
847|Red Sorghum|Jiang Wen|Jianyu Chen|
848|The Quiet Man|Barry Fitzgerald|Richard Llewellyn|
849|Casshern|Jun Kaname|Kazuaki Kiriya|
850|Our Relations|Ralf Harolde|W.W. Jacobs|
851|Time Regained|Marcello Mazzarella|Marcel Proust|
852|Anbe Sivam|Nassar(actor)|Kamal Haasan|
853|A Simple Wish|Martin Hayter Short|Jeff Rothberg|
854||Maureen O'Connell (actor)|Pete Brown|
855|Pamahiin|Abelardo Dennis Florencio Ho|Andrew Paredes Rahyan Carlos|
856||Claude Gauthier|Michel Brault|
857|Death Train|Frank Theodore Levine|David Jackson|
858|A Fine Mess|Edward Bridge Danson III|William Blake Crump|
859|Fat Man and Little Boy|Laura Elizabeth Dern|Roland Joffe|
860|Brazil|John Price|Tom Stoppard|
861|Henry: Portrait of a Serial Killer|Tom Towles|Richard Fire|
862||Jessica Walter|William Osborne|
863||Helen McCrory|Peter Morgan (screenwriter)|
864|Sun Valley Serenade|Margaret Schuyler Fisher|Robert Ellis (screenplay) Helen Logan (screenplay) Art Arthur (story) Robert Harari (story)|
865|A Thousand and One Nights||Osamu Tezuka|
866|Vaada|Arjun Rampal|Santosh Sivan|
867||John Lloyd Cruz|Mel Del Rossario|
868|Who?|Joseph Bova|Algis Budrys|
869|The Heiress|Ralph David Richardson|Augustus Goetz|
870||Richard B. Shull|Charles Willeford|
871||George Campbell Scott|Charlotte Bront?|
872||Pooja Bhatt|Mahesh Bhatt|
873||Fumihiko Tachiki|Tite Kubo|
874||Kimberly J. Brown|Lance W. Dreesen|
875|Priest of Love|Jorge Rivero|Alan Plater|
876|The Clan of the Cave Bear|Daryl Christine Hannah|Jean M. Auel|
877|A Brand New Hero|Roscoe Arbuckle||
878|Book of Love|Christopher Tyler Young|William Kotzwinkle|
879|Old Acquaintance|Ruth Elizabeth Davis|Edmund Goulding|
880|Kingdom Come|Hoot Gibson|Karl R. Coolidge|
881|The Treasure of the Sierra Madre|Harold Herman Brix|John Marcellus Huston|
882|Golden Globe Award for Best Motion Picture - Drama|Krishna Bhanji|Dean Jennings|
883|On_Line|Vanessa Ferlito|Jed Weintrob|
884|By the Sea|Edna Purviance|Charles Chaplin|
885||Faith Esham|Tonino Guerra|
886|Space Mutiny|Reb Brown|Maria Dante|
887||Todd Jones|Howard Sackler|
888|Sex and Breakfast|Alexis Dziena|Miles Brandman|
889||James Gordon MacArthur|Robert Dozier|
890|Chicken Run|Miranda Jane Richardson|Karey Kirkpatrick|
891|The Year of the Yao|Colin Pine||
892||Poonam Dhillon||
893|The Man Without a Past|Markku Peltola Kati Outinen Juhani Niemelu00E4|Aki Kaurismu00E4ki|
894|Ang Cute Ng Ina Mo||Wenn V. Deramas|
895|||Yoshiyuki Fukuda|
896|Cleopatra Jones|Tamara Dobson||
897|The Company of Strangers|Alice Diabo Constance Garneau|Gloria Demers|
898|Venom|D.J. Cotrona|Brandon Boyce|
899|Of Mice and Men|Casey Siemaszko|John Steinbeck|
900||Warly Ceriani|Julio Irigoyen|
901|Un chien andalou|Pierre Batcheff|Salvador Domingo Felipe Jacinto Dalu00ED i Domu00E8nech|
902||Elizabeth Warren|James Scurlock|
903||Mae Clarke|Albert DeMond|
904|Don Juan|Johan Verner u00D6lund||
905||Lew Davis||
906||Erland Josephson|Ernst Ingmar Bergman|
907|The Master Gunfighter|Ron O'Neal|Tom Laughlin|
908|The Private Lives of Elizabeth and Essex|Ruth Elizabeth Davis|Aeneas MacKenzie|
909|Salsa|Angela Alvarado|Tom?s Benitez|
910|Lovers of the Arctic Circle|Nancho Novo|Julio Mu00E9dem|
911|Best of the Best|Todd Jones|Paul Levine|
912|Nostalghia|Domiziana Giordano|Andrei Arsenyevich Tarkovsky|
913|He Winked and Won|Oliver Hardy||
914|Innocence|||
915|Thirteen Women|Jill Esmond|Bartlett Cormack|
916|The Fifth Musketeer|Lloyd Vernet Bridges III|George Bruce|
917||Jimmy Coup||
918|Love Object|Elmore Rual Torn|Robert Parigi|
919||Victor McLaglen|Mary Jane West|
920|Independence Day|Margaret Colin|Dean Devlin|
921||K. Balachander||
922||Sh?z? Iizuka|Aya Matsui|
923|Phoenix 2772|Keiko Takeshita|Osamu Tezuka|
924|Who's Harry Crumb?|John Franklin Candy|Robert Conte|
